iter	Passed	Remaining
0	162	162429
1	171	85627
2	179	59740
3	189	47211
4	197	39208
5	205	34097
6	213	30234
7	221	27490
8	228	25210
9	237	23521
10	244	22019
11	253	20893
12	261	19842
13	271	19121
14	279	18343
15	288	17773
16	298	17252
17	307	16768
18	316	16321
19	324	15880
20	333	15532
21	341	15184
22	350	14908
23	358	14586
24	367	14351
25	375	14076
26	386	13913
27	393	13675
28	408	13668
29	418	13531
30	426	13326
31	436	13199
32	445	13043
33	453	12898
34	463	12766
35	471	12624
36	480	12503
37	487	12353
38	496	12227
39	503	12090
40	512	11980
41	519	11857
42	527	11747
43	536	11661
44	545	11581
45	554	11491
46	564	11441
47	570	11324
48	580	11266
49	587	11160
50	596	11102
51	603	11000
52	612	10947
53	619	10858
54	629	10812
55	636	10730
56	646	10687
57	653	10607
58	662	10563
59	669	10485
60	678	10445
61	685	10370
62	694	10326
63	701	10253
64	709	10200
65	715	10132
66	724	10082
67	731	10019
68	738	9969
69	745	9907
70	754	9868
71	761	9817
72	768	9761
73	777	9728
74	785	9685
75	795	9673
76	805	9657
77	814	9629
78	825	9622
79	833	9580
80	842	9560
81	849	9514
82	859	9498
83	870	9488
84	878	9460
85	888	9442
86	896	9408
87	906	9389
88	913	9351
89	923	9335
90	930	9292
91	940	9278
92	946	9234
93	956	9217
94	963	9176
95	972	9160
96	979	9118
97	989	9103
98	996	9064
99	1005	9049
100	1013	9017
101	1022	9002
102	1030	8971
103	1080	9310
104	1095	9341
105	1119	9443
106	1128	9420
107	1141	9424
108	1151	9413
109	1160	9389
110	1170	9375
111	1177	9338
112	1188	9326
113	1195	9291
114	1204	9270
115	1211	9233
116	1220	9208
117	1227	9172
118	1236	9152
119	1243	9120
120	1253	9109
121	1261	9076
122	1271	9068
123	1279	9041
124	1288	9020
125	1297	8999
126	1305	8973
127	1314	8953
128	1323	8932
129	1332	8916
130	1339	8888
131	1348	8869
132	1355	8839
133	1364	8815
134	1371	8789
135	1380	8771
136	1388	8747
137	1398	8733
138	1405	8708
139	1414	8690
140	1422	8664
141	1430	8643
142	1438	8618
143	1446	8598
144	1453	8571
145	1462	8553
146	1469	8529
147	1477	8508
148	1485	8485
149	1494	8467
150	1501	8443
151	1510	8426
152	1518	8404
153	1527	8389
154	1535	8368
155	1543	8349
156	1551	8330
157	1559	8312
158	1567	8289
159	1575	8270
160	1583	8253
161	1594	8246
162	1603	8233
163	1615	8235
164	1626	8233
165	1636	8219
166	1646	8214
167	1656	8201
168	1666	8195
169	1676	8185
170	1684	8167
171	1694	8156
172	1702	8137
173	1712	8129
174	1720	8111
175	1731	8107
176	1742	8102
177	1752	8092
178	1763	8089
179	1773	8079
180	1783	8068
181	1795	8069
182	1805	8061
183	1814	8047
184	1824	8038
185	1832	8021
186	1843	8014
187	1850	7992
188	1860	7982
189	1866	7959
190	1876	7949
191	1883	7927
192	1893	7916
193	1899	7893
194	1909	7883
195	1916	7861
196	1926	7853
197	1933	7832
198	1943	7823
199	1951	7807
200	1960	7794
201	1970	7783
202	1977	7764
203	1986	7752
204	1994	7734
205	2003	7720
206	2010	7702
207	2020	7693
208	2027	7674
209	2037	7666
210	2045	7650
211	2055	7640
212	2062	7621
213	2073	7615
214	2082	7603
215	2091	7592
216	2100	7578
217	2108	7564
218	2117	7550
219	2125	7535
220	2135	7526
221	2142	7509
222	2151	7497
223	2159	7480
224	2168	7467
225	2175	7451
226	2184	7439
227	2191	7421
228	2201	7411
229	2208	7393
230	2217	7382
231	2224	7364
232	2233	7352
233	2241	7337
234	2250	7327
235	2258	7311
236	2267	7300
237	2275	7286
238	2285	7278
239	2292	7260
240	2302	7251
241	2309	7233
242	2318	7222
243	2325	7205
244	2335	7196
245	2342	7179
246	2351	7169
247	2358	7151
248	2366	7139
249	2374	7123
250	2384	7114
251	2391	7099
252	2401	7092
253	2411	7084
254	2419	7070
255	2431	7067
256	2439	7053
257	2450	7047
258	2457	7031
259	2467	7022
260	2474	7005
261	2483	6994
262	2490	6977
263	2499	6967
264	2505	6950
265	2515	6940
266	2521	6923
267	2531	6913
268	2538	6896
269	2547	6887
270	2554	6870
271	2563	6860
